1008,ספרי חכמה שירה ומגילות,    100812,הרצאה,פריאל יוסף,עיונים במגילות רות ואסתר,12:00,14:00,ב,ה,מ.ישראל-507 חדר   1
1010,נושאים במקרא,    101001,הרצאה,פריאל יוסף,"התנ""ך במבט-על",10:00,12:00,שנתי,ד,מ.ישראל-507 חדר 102
1010,נושאים במקרא,    101004,הרצאה,"ד""ר זימרן יסכה",ראשית דרכם של נביאים ומנהיגים,10:00,12:00,שנתי,ה,מ.ישראל-507 חדר 203
1010,נושאים במקרא,    101005,הרצאה,' שמש יעל,פרשנות פמניסטית למקרא,14:00,16:00,שנתי,ב,מ.ישראל-507 חדר   5
1010,נושאים במקרא,    101006,הרצאה,פריאל יוסף,נשים במקרא,12:00,14:00,שנתי,א,מ.ישראל-507 חדר   1
1010,נושאים במקרא,    101007,הרצאה,פרופ' לווי אריק,פרשנות המקרא היהודית בימי הבניים בעבר ובהווה,12:00,14:00,שנתי,ד,מ.ישראל-507 חדר 203
1010,נושאים במקרא,    101008,הרצאה,"ד""ר זימרן יסכה",יחסי אחים במקרא,12:00,14:00,שנתי,ה,מ.ישראל 605 חדר  11
1010,נושאים במקרא,    101012,הרצאה,טויטו חזוניאל,דמויות נשים במקרא,08:00,10:00,שנתי,ד,מ.ישראל-507 חדר   1
1010,נושאים במקרא,    101013,הרצאה,' אביעוז מיכאל,המוות במקרא,16:00,18:00,שנתי,ד,מ.ישראל-507 חדר   1
1010,נושאים במקרא,    101014,הרצאה,"ד""ר גוטליב ליאור",עם הספר,10:00,12:00,א,ג,מ.ישראל-507 חדר 101
1010,נושאים במקרא,    101014,הרצאה,"ד""ר גוטליב ליאור",עם הספר,10:00,12:00,ב,ג,מ.ישראל 604 חדר  11
1010,נושאים במקרא,    101015,הרצאה,פרופ' לווי אריק,פרשנות המקרא היהודית בימי הביניים,16:00,18:00,שנתי,ד,מ.ישראל-507 חדר 203
1010,נושאים במקרא,    101016,הרצאה,שמעון צבי,"התנ""ך-סקירה וקריאת קטעים נבחרים.",18:00,20:00,שנתי,ג,מ.ישראל-507 חדר 101
1010,נושאים במקרא,    101002,הרצאה,פריאל יוסף,"השתקפות התנ""ך בזמר העברי",12:00,14:00,א,ד,מ.ישראל-507 חדר 101
1010,נושאים במקרא,    101019,הרצאה,"ד""ר פרג'ון יאשיהו",בין אלוקים וב(י)ן אדם:שאלות יסוד במחשבת המקרא,12:00,14:00,א,ד,מ.ישראל-507 חדר 102
1010,נושאים במקרא,    101020,הרצאה,"ד""ר זאנד אפרים",מיועד לתלמידי רפואת בלבד,16:00,20:00,א,ד,
1010,נושאים במקרא,    101053,הרצאה,שמעון צבי,,00:00,00:00,א,,
1010,נושאים במקרא,    101003,הרצאה,פריאל יוסף,"השתקפות התנ""ך בזמר העברי",10:00,12:00,ב,ה,מ.ישראל-507 חדר 101
1012,מבוא לספרות המקראית,    101201,הרצאה,אלגביש דוד,מומלץ למתמחים/ות בלשון עברית;מומלץ לתלמידי המחלקה ללשון עברית,10:00,12:00,שנתי,ד,מ.ישראל-507 חדר   1
1094,דמויות במקרא,    109434,הרצאה,סמט נילי,המקרא ועולמו-באנגלית. אינטרנט שנה ב' ומעלה.,00:00,00:00,שנתי,,
1094,דמויות במקרא,    109458,הרצאה,סיידלר איילת,מיועד לזרועות הביטחון בלבד,00:00,00:00,שנתי,,
1094,דמויות במקרא,    109435,הרצאה,שמעון צבי,קורס באינטרנט לתלמידי שנה ב' ומעלה.לא מתאים לעולים חדשים.,00:00,00:00,א,,
1094,דמויות במקרא,    109436,הרצאה,סיידלר איילת,קורס באינטרנט לתלמידי שנה ב' ומעלה.לא מתאים לעולים חדשים.,00:00,00:00,א,,
1094,דמויות במקרא,    109437,הרצאה,סיידלר איילת,קורס באינטרנט לתלמידי שנה ב'ומעלה.לא מתאים לעולים חדשים.,00:00,00:00,ב,,
1095,ספרי חכמהשירה ומגילות,    109535,הרצאה,פריאל יוסף,עיונים בספר תהילים קורס באינטרנט לתלמידי שנה ב' ומעלה.,00:00,00:00,שנתי,,
1095,ספרי חכמהשירה ומגילות,    109588,הרצאה,נחשון עמיחי,לתלמידי תוכנית מעוף. אינטרנט,00:00,00:00,שנתי,,
1095,ספרי חכמהשירה ומגילות,    109529,הרצאה,נחשון עמיחי,עיונים בחמש מגילות. המחלקה לניהול,00:00,00:00,א,,
1095,ספרי חכמהשירה ומגילות,    109530,הרצאה,נחשון עמיחי,,00:00,00:00,א,,
1096,עיונים בספר דברים,    109635,הרצאה,' עופר יוסף,קורס באינטרנט לתלמידי שנה ב'ומעלה.לא מתאים לעולים חדשים.,00:00,00:00,א,,
1097,עיונים בספר בראשית,    109735,הרצאה,כהן יחזקאל,קורס באינטרנט לתלמידי שנה ב'ומעלה. לא מתאים לעולים חדשים,00:00,00:00,ב,,
1098,שלום ומלחמה במקרא,    109825,הרצאה,שמעון צבי,לתלמידי מנהל עסקים,00:00,00:00,א,,
1098,שלום ומלחמה במקרא,    109839,הרצאה,שמעון צבי,,00:00,00:00,א,,
1098,שלום ומלחמה במקרא,    109826,הרצאה,שמעון צבי,"לתלמידי ביה""ס למנהל עסקים",00:00,00:00,ב,,
1098,שלום ומלחמה במקרא,    109836,הרצאה,שמעון צבי,קורס באינטרנט לתלמידי שנה ב' ומעלה.לא מתאים לעולים חדשים.,00:00,00:00,ב,,
1098,שלום ומלחמה במקרא,    109837,הרצאה,שמעון צבי,קורס באינטרנט.לתלמידי שנה ב' ומעלה.לא מתאים לעולים חדשים.,00:00,00:00,ב,,
2017,אישות-תלמודהלכה ומנהג ***,    201701,הרצאה,עמית אהרון,לכלל הסטודנטים והסטודנטיות,16:00,18:00,שנתי,ה,מ.ישראל-507 חדר   1
2017,אישות-תלמודהלכה ומנהג ***,    201703,הרצאה,"ד""ר סג""ל אילת",לכלל הסטודנטים/יות.,10:00,12:00,שנתי,ב,מ.ישראל-507 חדר 103
2017,אישות-תלמודהלכה ומנהג ***,    201756,הרצאה,הרמן דב,מיועד לזרועות הביטחון בלבד.,00:00,00:00,שנתי,,
2017,אישות-תלמודהלכה ומנהג ***,    201757,הרצאה,הרמן דב,מיועד לזרועות הביטחון בלבד,00:00,00:00,שנתי,,
2017,אישות-תלמודהלכה ומנהג ***,    201775,הרצאה,הרמן דב,"לבוגרי/רות בתי""ס כלליים",10:00,12:00,שנתי,ד,מ.ישראל 604 חדר  11
2017,אישות-תלמודהלכה ומנהג ***,    201710,הרצאה,טלבי חיים,לתלמידי החוג המשולב למדעי החברה-רנטגן,14:00,18:00,א,ג,מ.ישראל 605 חדר 101
2017,אישות-תלמודהלכה ומנהג ***,    201770,הרצאה,טלבי חיים,"לבוגרי/רות בתי""ס כלליים",10:00,14:00,א,ב,מ.ישראל-507 חדר 102
2017,אישות-תלמודהלכה ומנהג ***,    201771,הרצאה,טלבי חיים,"לבוגרי/רות בתי""ס כלליים",10:00,14:00,ב,ב,מ.ישראל-507 חדר 106
2035,מצוות בין אדם לחברו- תלמוד הלכה ומנהג***,    203501,הרצאה,גלינסקי יהודא,חלק א'. לכלל הסטודנטים/יות,18:00,20:00,א,ה,מ.ישראל-507 חדר 101
2035,מצוות בין אדם לחברו- תלמוד הלכה ומנהג***,    203502,הרצאה,גלינסקי יהודא,חלק א'. לכלל הסטודנטים/יות,10:00,12:00,א,ו,מ.ישראל-507 חדר 101
2035,מצוות בין אדם לחברו- תלמוד הלכה ומנהג***,    203572,הרצאה,טלבי חיים,"לבוגרי/רות בתי""ס כלליים",10:00,14:00,א,ג,מ.ישראל-507 חדר 105
2035,מצוות בין אדם לחברו- תלמוד הלכה ומנהג***,    203573,הרצאה,טלבי חיים,"לבוגרי/רות בתי""ס כלליים",10:00,14:00,ב,ג,מ.ישראל-507 חדר 105
2036,מצוות בין אדם לחברו חלק ב'-תלמוד הלכה ומנהג,    203601,הרצאה,גלינסקי יהודא,לכלל הסטודנטים/יות,18:00,20:00,ב,ה,מ.ישראל-507 חדר 101
2036,מצוות בין אדם לחברו חלק ב'-תלמוד הלכה ומנהג,    203602,הרצאה,גלינסקי יהודא,לכלל הסטודנטים/יות,10:00,12:00,ב,ו,מ.ישראל-507 חדר 101
2093,מבחר סוגיות בנושאים אקטואליי,    209335,הרצאה,בורגנסקי חיים,קורס באינטרנט לתלמידי שנה ב' ומעלה.הלכה ורפואה הלכה ומדינה,00:00,00:00,שנתי,,
2097,דיני משפחה - תלמוד הלכה ומנהג,    209735,הרצאה,הרמן דב,קורס באינטרנט לתלמידי שנה ב' ומעלה.לא מתאים לעולים חדשים,00:00,00:00,א,,
2097,דיני משפחה - תלמוד הלכה ומנהג,    209738,הרצאה,כהן עמיחי,קורס באינטרנט לתלמידי שנה ב' ומעלה.לא מתאים לעולים חדשים,00:00,00:00,א,,
2097,דיני משפחה - תלמוד הלכה ומנהג,    209739,הרצאה,כהן עמיחי,קורס באינטרנט לתלמידי שנה ב' ומעלה.לא מתאים לעולים חדשים,00:00,00:00,ב,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209920,הרצאה,דובדבני אורן,שנה ב' ומעלה;מיועד לתלמידי רפואה בלבד,00:00,00:00,שנתי,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209936,הרצאה,הרמן דב,שנה ב' ומעלה,00:00,00:00,שנתי,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209955,הרצאה,הרמן דב,שנה ב' ומעלה,00:00,00:00,שנתי,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209910,הרצאה,הרמן דב,שנה ב' ומעלה; קורס באינטרנט מיועד לתלמידי תואר שני חשבונאות בלבד,00:00,00:00,א,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209926,הרצאה,הרמן דב,"שנה ב' ומעלה;לתלמידי ביה""ס למנהל עסקים",00:00,00:00,א,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209930,הרצאה,הרמן דב,שנה ב' ומעלה;ניהולתואר שני כל המסלולים+תואר ראשון לוגיסטיקה אור,00:00,00:00,א,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209970,הרצאה,הרמן דב,שנה ב' ומעלה;קורס באינטרנט,00:00,00:00,א,,
2099,חגי ישראל - תלמוד הלכה ומנהג,    209935,הרצאה,הרמן דב,שנה ב' ומעלה;קורס באינטרנט לתלמידי שנה ב' ומעלה.לא מתאים לעולים ח,00:00,00:00,ב,,
